score,tweet,
0.0,Text,
0.0,Midterms are coming up soon and y’all know what that means: it’s time to end my very existence,
0.0,its midterms week they cant handle it 🥴 Its homecoming.. why tf yall so dry?,
-0.3131,"i’m having a very hard time believing it’s basically midterms week already, how is this semester going by so fast!!",
0.0,My ulcers would come back right before midterms.....,
-0.4404,5 weeks an already midterms :(,
-0.4767,Nobody is allowed to submit their midterms until at least one student is crying or has vomited.,
-0.822,College pro tip: workout before you study for midterms because then your legs will hurt so bad you won’t want to get up from your desk,
-0.34,Why did my midterms have to be the week of RL...I have so much fuckin work I’m stressed,
-0.1697,i need these tectonic plates to chill out until i get to school cause i’m not trynna be late for these midterms or die on bart THANK YOU @earth,
0.0,Midterms are next week and some of the guys at WCCS on a baseball scholarship still dont have access codes. Go Wallace. Go Patriots.,
0.0,I am a simple person I see midterms I eat it,
0.5719,Why does it have to be the perfect weather to take a nap to when I have to study for midterms 🙄,
0.0,midterms 💀,
0.4003,"Heading over to Ignition now, hopefully this goes well!Also, I most likely won't be able to stream on Thursday due to midterms and assignments. Sorry everyone.",
-0.4767,my first midterms of uni tomorrow and instead of studying I am crying over pictures of tonight’s lungs curtain call lmaoo,
0.4215,Time to treat myself for surviving midterms in one piece and with good grades (minus physics but screw that) 😌 ,
-0.5927,"Probably an absurd request but DPS couldn't hold off on boots during midterms? A girl came in class in tears because on top of grad school stress and our extra long midterm, she had a boot on her car",
0.128,When it's @Braves October baseball with a chance to advance but you still have midterms.  🤷🏼‍♂️ #ChopOn #RELENTLESS ,
-0.4767,they need to postpone midterms cuz.... no,
0.0,Midterms? done!Pre finals? Easyhan mo lang 🥺,
0.0,Dame pang gawain after midterms 😂,
0.6909,"Make sure to pregame for your midterms as hard you as you pregamed for Drunk Fest!!!🥴Tuesday(tomorrow) from 6-8:11PM on the third floor of the library, come study and eat FREE PIZZA! 🍕📝📌📚@RhoThetaPsiPhi",
0.0,MIDTERMS TODAY ,
0.0,Midterms next week?,
0.2846,"Spooktober used to be fun because of Halloween, but now it’s even spookier because of midterms and college. 🎃",
0.7203,"dear kind person who stole all my things out of my friend’s car last night, please return my @jennylewis bag and my notebook so i can fail my midterms slightly less than im already going to. thx",
0.0,should be studying for my midterms..... but jihyo with pigtails 🥺,
0.0,dANG extended midterms hanggang next week : )),
0.5106,"After midterms my goal is to book an appointment out of relief to finally relax. Only problem is, I have no prospects 🤦🏿‍♀️",
-0.8265,i’m sonstressed with life i’m at the point where I just don’t care anymore. like yes I have two midterms and a lot to plan but goddammit my head hurts so bad that it’s making it impossible to focus,
0.8832,"Good luck on your midterms, Greyhounds! Make sure you utilize all of @TheStudyLoyola's helpful resources: #LoyolaMD ",
0.9627,"ANNOUNCEMENT: BURNED., book 2 in the #SPOOKED. series, releases today! Perfect #Halloween-reading, it's got everything you want: friendship, family, suspense, romance, #ghosts, and midterms! To celebrate, Book 1, SPOOKED., is also on sale for 99 cents! Happy #bookbirthday to me.",
0.0387,I want to take a nap but also..... what if harry does something..... but i should nap so I can study right for midterms,
-0.4023,Having 3 midterms in one day is not fun,
-0.4215,"my brain is about to explode🙃 I went to write an LSAT Mock Test today from 9-1:30, then from 2-5:30 I went to a law school info session &amp; now I’m studying for midterms",
-0.5106,I'm sick and I have midterms and still all I'm doin is waiting in this fucking queue for loverfest tickets I don't even know if I can get,
0.2263,"okay im actually logging off because i need to study for midterms, bye 😭",
0.3612,2 midterms this week 🥴😩 why it still feel like classes just started.,
-0.7003,"It’s been a strange 5 weeks as a professor. Calls for genocide against minority faculty and students at my institution. I haven’t even administered midterms yet 🥴 After racist emails, Wake Forest University keeps armed guards outside of some classrooms - The Washington Post",
0.7418,it's our midterms week!! wish me luck hehehe 😚♥️ @weareoneEXO @B_hundred_Hyun @layzhang,
0.4588,"Why do bad things always happen to me in the days leading up to midterms, therefore, prohibiting me from studying to the best of my ability 🙃🙃🙃",
0.0,"bye twitter, i'll be back after midterms,,,,,,,,if kabalik ko hehehehe char",
0.0,"Midterms, checkkkkeddd. ✔️",
0.0,Midterms is coming!!,
0.8858,"We have a special treat for you guys on Monday as Canyon, our favorite therapy dog, will be making his long-awaited return to Walker Library to help you through midterms!Catch him on Monday starting at 1 p.m., and he'll be back again at 8 p.m. on Tuesday.",
-0.5267,me last week on my midterms:( it hurt different when you were actually tryin,
0.3802,midterms week bout to start and i just pray i pass all my midterms🙏🏽!,
0.7579,"gonna be ia for the next two weeks because I have midterms soon and I wanna make sure I’m passing all of my classes, see y’all in two weeks I love boochan and seventeen so so so so much💜💜💜💜💜 💜💜💜",
0.8481,WHEN U R PLAYING MINECRAFT IN THE LIBRARY AND THE PRESIDENT OF THE UNIVERSITY COMES OVER AND GIVES YOU A COOKIE THAT SAYS GOOD LUCK IN MIDTERMS.... BOY DO IT LOOK LIKE IM STUDYING,
0.6249,Feel great about my 5/6 midterms 👏🏽 I’m doing what is said I was going to do,
0.2023,"On top of that, I have to deal with midterms back to back 😒",
-0.296,I have no more ideas on what to drawI can't even study for midterms jcodndidj,
-0.4019,Oh damn I just realized that midterms is this week 😩💀💀,
-0.3527,"With midterms and homecoming approaching, we all need to start studying for those exams. iCOM is here for you❗️❗️ Sick of Ellis??  Join us this Sunday✨ ",
0.4215,"""I bless the rains down in Ackerman.""— Andrew ""Kimberly"" Kim#UCLA #Midterms",
0.0,Midterms ✔️ now let’s gets rowdy,
0.0,"After midterms part 2. Tatapusin ko na basahin yung tantei high, seventh sense, oh my ice goddess and the science of spying. Fudge!!",
-0.7534,midterms is approaching and im NOT risking it—licherally just me getting sad that the supposed art acc became shit acc lol my bad i’ll get it right one day ,
0.9127,"Hey as a reminder, I will not be streaming tonight bc of midterms and papers, but I do have a lot of amazing friends who will be! So make sure to see who I'm hosting and drop by and say hi!",
-0.4782,after these midterms i deserve nothing but a good time,
0.0,saw a girl on omegle during lecture ... she’s havin a breakdown &amp; it ain’t even midterms,
0.0,bro i have so many errands to do AND study for midterms,
0.0,Lots of people are just now starting college while WSU has already hit midterms,
0.5267,Studying for Midterms and enjoying this #AMCFearFest Halloween marathon 😁🎃,
0.4215,Retweet this lucky Fredan to pass your midterms ☘️ ,
0.701,"I'm not sure why but I've been super sluggish this week and it's affected my sleep and mood, so I think I'm going to take tonight off and restart a bit. + Thanksgiving (🇨🇦) is this weekend &amp; midterms start Monday, so it'll be nice having an extra study day. See you tomorrow!",
-0.4767,"I'm sitting here, crying in my pj's. Cause I have midterms and cramming isn't working. Will to live is running out, flash cards are all around. How did I get here, I need to knowwww...? 🎶",
0.0,"All kinda midterms, but yet Ine learn nothing, how da work ?",
0.0,i decided im not updating any of my fics until after midterms/exams are over,
0.5093,Just want to let you all know the next couple of weeks will be interesting to say the least... College midterms... Ughhhh...Don't expect too much!,
0.5574,Midterms are quickly approaching. Please pray for me.,
0.0,midterms should be outlawed,
0.0,It’s 4.0 Season 👀 So Get right with The @UCFSigmas this Monday in NSC 113 From 6:00 PM -9:00 PM so You can start on the right foot before Midterms! #UCF23 #UCF22 #UCF21 #UCF20 #GoKnights #FLSigmas #UCFSigmas,
0.0,in need of a plug as soon as these midterms are done,
0.0,"From the 2014 to 2018 midterms, voting among college students doubled.",
0.0,3 midterms one day and another one the next,
-0.3182,I’m still shocked at the fact midterms are next week.,
0.0,I took 4 midterms today. Don’t text.,
-0.8625,"Fuck this depressing ass weather, already have midterms to study for",
0.4019,after ng bigsayawit midterms naman hehehe help us,
0.0,Whatever brain cells I have left writing the 3 back to back to back midterms:,
0.09,"good morning philippines, i slept around 11:40 last night skksfjsj too early i know for midterms season but idk the earliest i get to sleep for weeks",
0.0772,hi i want to cri @ midterms,
0.0,midterms are coming... ,
0.0,If your reading this... you should be studying for your midterms.😤,
0.0,"2 midterms down,,, 3 more to go😅",
0.0,I was gunna pass these midterms until Mario kart came out in the AppStore 🤦🏾‍♂️🤦🏾‍♂️🤣,
-0.2023,Charlie failed the Utah Snow like it was midterms,
0.7574,Stay hydrated for midterms! Purchase 2 bottles of Smartwater and get a free phone wallet. Let’s hope the water works.,
0.0,Who’s idea was it to make 3 Friday night midterms this term 😫 #nothappy,
0.0,midterms !!,
-0.126,Midterms got you stressed? Join us in the Burton Addition next Wednesday at 7:30pm to de-stress and learn some study tips!,
-0.6486,anyway i feel sick and tired and i need to get through two weeks’ worth of readings plus midterms before i go out of town next weekend so✌️,
0.0,work is so slow and i ran out of flashcards so i cant even study for midterms anymore &lt;\3,
0.4199,"Who let my professors assign me this much homework?! I’d just like to know 😭 a total of 4 papers, one presentation, and so much reading all right before midterms",
-0.0258,Treasury Targets Russians Suspected of Meddling in Midterms ,
0.6369,The dream goal is to get all of my labs done for school today. The more realistic goal is to get half of them done today. Midterms are soon and I'm panicking.  Words of encouragement are appreciated.,
0.1654,i know i shouldn't be here but just wanna scream tHAT TODAY IS THE LAST DAY OF OUR MIDTERMS + IS MAH BIRTHDAY + IS THE DAY CHUNG HA AND BRIAN WILL RELEASE THEIR SONG HRNNRSHRJSHDSKJDSKSD ,
-0.6877,I’m so dizzy today and nauseous! My reaction time is so delayed! Probably a side effect from the concussion I have. I have midterms on Monday and idk how I’m going to study,
-0.4043,"Lmaoo we ain't even worried about midterms atp , that's how I know shit finna be live",
-0.6486,4 midterms and 2 quizzes in a week got me brain dead 😅,
0.0,Any gamers need a math or economics tutor? Its GetBusy SZN with midterms coming up,
0.0,this girl really just said wait we get midterms in college,
0.0,Officially done with my midterms #Timeless tweet! 😁 #SaveTimeless ,
0.886,Focus on those midterms gentlemen and let 2020 be great. 🦁 On God we the best class,
0.974,"Living miles✈️ away from home is HARD, but I'm super blessed to be surrounded by awesome people who treats me like family!! Grabee midterms and safety lang ng fam ko pinagdasal ko kanina, may kasama pa palang advance birthday surprise!! 😭🎂💖 Lord, salamat po sa araw na to!! 🙏🏼",
-0.2732,Just realized I have two midterms tomorrow and I’m nervous asf,
0.0,do i go to kim petras concert or do i pass my midterms...woo ah🥺woo pass🥺,
0.7088,Midterms are just around the corner! 😓 Please encourage your @miamiuniversity and @MiamiRegionals ESL students to make use of the writing services offered by the ELL WC. Appointments online or in-person. ,
0.4585,"You know where I want to be right now, not having to worry about midterms? The Campground..Can’t believe the season is coming to a close already! #MOREWOOD ",
0.0,alright boys &amp; breakdowns are cancelled until i finish midterms,
-0.5423,"gmorning, midterms r eating my ass",
0.0,Yaaaaay Midterms are next week.. ,
0.0,Wassap midterms. Lez go!,
0.0717,failing college midterms is so much fun #yay,
-0.2755,I'm not ready for midterms at all,
0.533,I mean.... you know... bawi ngayong midterms apparently means bawi sa... TULOG??? What's good in the morning ✊🏻😥,
0.0,all my midterms on one day #fml ,
0.1779,Growing big and thick while I get some work done. Midterms. ,
0.4215,rt this lucky gerard niño to pass midterms/finals legit HSAKHSLAHS ,
-0.9091,fuck midterms i hate this shit,
0.0,It’s Midterms week look at how close I am to now dropping out CAPTION THIS! ,
-0.0516,I think the biggest reason I’m having trouble realizing it’s midterms is because it still feels like move in day outside,
0.8273,i could not be more proud of stacy. she works so hard and puts so much into school while still maintaining her social life and being so good to me and she looks so hot while doing it. love you baby congrats on the midterms ♡ @trapvpug,
0.5267,I’m at an important crossroads in the semester - I either start studying for Midterms or start accepting applications for sugar daddies. #myDMsareopenfellas ,
0.7946,okay. i'm okay. it's fine!! everything is fine even though i failed most of my midterms and my car is crapping out for no reason and i have piles of work to do. it's fine!! it's fine. it's fine it's fine it's fine it's f,
0.6808,"Exactly, they better worry bout them midterms 😂😂😭😭😭 Lol the package deal don’t need no fake love during homecoming 😂😂 cause the way we bout to be 😂 ain’t gone be a good idea",
0.4939,"With midterms right around the corner, remember to take some time for yourself &amp; enjoy the weather ⛅️🍃 #FridayFeeling ",
0.0,Homecoming AND midterms are around the corner,
0.0,Midterms on deck.,
0.2732,listening to pagliacci while studying for midterms because I’m a clown to think I can actually do well on these,
-0.5984,// Sorry for the inactivity everyone. In a really stressful place right now. I have midterms coming up.,
0.4404,good mrning midterms na,
-0.6956,"Btw, for those of you wondering when the last time the cable news networks completely blew election coverage, you don’t have to go back to 2016 but can just watch election night of the 2018 midterms where CNN/MSNBC fell over themselves saying what a bad night it had been for Dems",
0.0,This homework been blowing mine. What is a midterms week!😩😩 who came up with this shit!!!!!,
0.0,It’s midterms already😓,
0.0,This slacker hasn't helped grade this stack of midterms at all! That's the same amount that were there before I took my nap! #StormyWeatherIsntHelping ,
0.0,nsg midwif day. midterms. intrams,
0.2023,Coffee is whats keeping me alive these days but I know I need to limit my coffee intake 😭#midterms #hellweek,
0.5916,I was supposed to have three midterms tomorrow but because of the power outages class got cancelled for the week 😇 happy Wednesday!,
-0.2023,Michigan City Clerk Charged with Altering Ballots in 2018 Midterms,
0.0,My kind of walwal: reading eyes trilogy. Say what midterms and reporting? 😂,
0.0,MIDTERMS ARE DONE,
0.0,So im done with my midterms 🤡,
0.0,Suppose to be studying for midterms 🤦🏽‍♀️,
-0.2263,Sometimes midterms need some silliness in post secondary #edchat ,
0.7906,“Life is too complicated not to be orderly.” – Martha Stewart⠀⠀My #midweek spread in my #teacherplanner. Midterms have started so I’m trying to get as much studying done as possible. I hope everyone is having a great week ☺️✨⠀⠀#happyplanner #… ,
0.8687,Sure to be lots of fun as well as a nice break from midterms! 🎉😁 ,
0.0,Gusto ko mag tags after midterms!!!!! 🙄,
-0.6315,Still not sure what to wear for Midterm Madness? Check out this week's news update! #BridgeValley #Pathfinders #midterms  ,
0.5927,i was supposed to have two midterms on thursday but now one is take home maybe today is a good day,
0.3612,Studying for #midterms like a 🤓,
0.0,Russian Oligarch Gave Over $1M To McConnell-Linked Campaign Fund Before Midterms,
-0.6981,I wanna have fun during homecoming but I can’t stop stressing about these midterms....I need that 4.0 !!!,
-0.3071,i thought i was gna kick my chem midterms ass but i think it just kicked mine instead,
0.3257,"We know it seems like classes just started, but Midterms will be here before we know it! Here are 10 tips to rock all your midterms!",
0.0,18 days until semestral break... which means 15 days until midterms 😐,
0.4404,"good morning bird app,, today is day 1 of midterms dbismeksnsjs",
0.0,How am I suppose to study for midterms when season 15 of Greys is now on Netflix??????,
0.0,i just realized that senior midterms is next week.....,
-0.3595,"Midterms getting you down? Stop by the NW Campus Library today and tomorrow, for a quick pick-me-up!  #gtcnwlibrary #mygtcexperience ",
0.4215,"Must feel nice to write midterms on weekdays, can’t relate with my Saturday midterms 🤷🏻‍♂️",
0.7184,"motivation to go through midterms: praise jam siargao trip ate windlove's ph visit team children's month... etcand above all, si Lord  💖",
0.4095,WAIT thank you for 500 followers?? 😭💞 i don’t really feel like i did anything though ksjfskdjd art block and midterms have been major setbacks recently ....,
0.0,3 midterms in the span of two days 🤪🤪,
-0.7506,I skipped a class and failed 2 midterms today. All I wanted to do was watch the Braves.... my day is just getting worse,
0.2732,SCHOOL 🤦🏾‍♂️ midterms getting the best of me bro @__AyooQuis I gotchu bro what’s wrong,
0.0,LAST MAJOR MIDTERMS LATER WE AINT SLEEPING TONIGHT ,
0.948,"Do you like cookies? Coffee? Punch? Talking to cool guy in a tie? We can deliver on three of these four things tonight in Bayou!! The cool factor is up to you to decide, but stop by and enjoy the rest on us! Our way off wishing you the best on midterms #UHCL #FreeTreats",
-0.3851,midterms are coming and my soul is so anxious,
0.0,"You know when it’s midterms when girls be showing up to the library with their hydroflasks, mac books, dressed in birkenstocks, leggings, pink sweaters, and contemplating about getting a sugar daddy",
0.4215,So I know that my prof had us paint outside when it was nice to experience that before it's icy for months. I do think that he should have made those paintings applicable for midterms instead of a bunch of extra things. Or at least a one to one switch.,
-0.1027,idk why i decided to makeup my internship hours the same week as midterms 🤦🏽‍♀️,
0.0,"“It’s too early to start studying,when the midterms are close I’ll start”Syllabus: ",
-0.6705,All my midterms about to take themselves cause this bitch is done,
0.7506,hi sorry i’ve been inactive lately i probably won’t be back until the end of this week bc of midterms and stuff i’m sorry i hope u all have a great week tho 🥺🥺❤️ ,
0.4215,i’m only studying for midterms so she can have a nice life ,
-0.4168,midterms coming up just not feeling good luv xx,
0.0,midterms + city meet + intrams + release of cards= poTa,
0.4497,should be studying for my midterms but instead i’m making a playlist for my drive to bg tomorrow :-),
0.2936,I wrote this last semester but am really feeling it right now 😴😴 Midterms knocking anyone else down right now? 🙋🏼‍♀️,
-0.5829,I've got midterms next week so picked a bad time to download Mario Kart Tour,
0.0,MIDTERMS ARE THIS MONTTHHHH,
0.5927,I have my linear algebra and physics midterms back to back starting at 8am tomorrow. I should be studying. but twitter is actually good today. why,
0.5106,I survived my #midterms. Guess I’ll just have to wait and see how I did 🤷🏽‍♂️ #UNCC,
0.1531,"I mean, yeah October is “spooky season”, but it’s mostly because of all the midterms",
0.6249,I had a great day with my midterms now it’s time to go to work,
0.0,2 out of 3 midterms done and passed one to go ✅,
-0.2732,n e ways if superm does drop toronto dates it's probably gonna be during my midterms so f uck me,
0.0,Midterms are anti-success,
0.0,"The way I been moving lately you’d never guess I have 4 midterms, 2 quizzes and 3 assignments due within the next 10 days",
0.0,trying to study for midterms but your gf sends you yoda asmr videos,
0.0,What should I do in celebration for ending midterms??Start Vinland Saga -mangaPractice drawing,
0.4019,Eating healthy for midterms: combo wheel slice with donairdonair is a vegetable,
0.4574,I had three midterms back to back today does that mean I mentally check out the rest of the week? Yes!,
0.4404,"good morning, midterms 💥",
0.1321,You wanna know how I did on my midterms ?I finished and I’m crying so lol,
-0.1531,Starting tmr I got 7 days to prepare for 2 midterms that I’m severely unprepared for ha,
0.128,Omg i forgot the New run episode came out today. Damn I’ll have to save it for later cus a girl got midterms to study for,
0.4574,Midway through midterms week. Beach party after it’s over!,
0.0,i got a 100 on my one of my midterms so now i’m watching videos about sims at work,
0.0,First day of Midterms ExamGoodluck sakin/satin🤣🤣,
0.0,Bro it’s midterms week &amp; Its really startin to sink in that this nigga stole my laptop dawgg 😂😂😂,
0.0,Midterms Extended Edition 🙃🙃🙃 rak ang 2 weeks of exams.,
0.6249,Vacation after midterms with a great company💕 ,
0.0,one of my midterms is online!!!! ,
0.0,This semester is flying by. I can’t believe next week is midterms already,
0.5812,bts better not do SHIT during reading week tae n jk need to stay disconnected imma fail my midterms,
0.0,all these midterms man... ,
-0.5719,I hate midterms week,
0.7096,Good luck on y’all midterms 🙌🏾🙌🏾,
0.0,Midterms finished 😎,
0.0,Why are Saturday morning midterms a thing???,
0.0,midterms na agad next week¿¿ 🤯🤯,
0.0165,"I’m not excited for homecoming  it’s probably because I don’t have that much energy , midterms are this week and I’m very tired/stressed out.",
-0.2263,icb im gonna waste my time playin mario cart for the first time instead of revising for my midterms but oh well--,
0.0,They was really arguin from 3-5am nonstop during midterms week I am still highly pissedT,
-0.4111,to the asshole in alden who took the last of my meds from my backpack while i was in the bathroom: wow!! you really just fucked up my entire week of midterms!! i want you dead!!!!,
0.1154,"[♦] I've cleaned out my DMs as the spooky aesthetics start to pile in. I'm taking my time in responding now too since Midterms are right around the corner, but I do want to get back into the swing of things.",
0.6124,MIDTERMS IN LIKE 2 WEEKS 🤯 FEEL LIKE DA SEMESTER JUST STARTED 📆,
0.2263,"Okay, after midterms usap tayo HAHAHAHAHAHA",
-0.25,My midterms are ruining October for me,
0.8779,can you wish us uni students good luck on our midterms 🥺 I have like three next week and four the following week @Harry_Styles,
0.4404,"You know midterms coming up, right? Her: “Don’t be out here entertaining these females”ME: ",
0.0,Anyone doing anything tonight? I’m tarrying to destress from these midterms 😭,
0.0,Retail therapy after midterms ✍🏽,
0.7096,"with midterms coming up I needed that, thanks harry :) ",
-0.872,"i just want to stay in bed and watch anime, but a bitch gotta study for midterms :(",
0.0,Midterms finally done 🥳,
0.0,"the only spooky thing about ""spooky season"" is the fact that midterms are literally around the corner",
0.0,"Studying for 2 midterms, writing big sis &amp; networking for #ChangeRapeCulture all from a whole other state 😓",
0.0,"i might be ia for the next two ish weeks since i have midterms,,please don’t unf 😔😔✊",
0.3182,4 midterms and 1 lab report all within the next week. Pray for me,
0.4019,"I’m feeding The Kid some peanut butter and marshmallow fluff roll ups, with a side of French fries, some apple slices, and whatever drink he can grab. I call it the “Mommy just took three midterms and still has one left to take tomorrow” dinner special.",
0.0,If anyone is wondering how I feel right now since it’s midterms month AAAAAAAAAAAAAAHHHHHHHHHHHHH,
-0.4019,Got Bs on all my midterms with 0 hours put into studying omgggg i’m insane,
-0.6115,"I really hate 7am class, especially midterms ko ngayon",
0.0,"Tell me something you did today - anything - so I can live vicariously through you, because I spent my day listening to recorded pathophysiology lectures for an upcoming midterm. 🤓📚🧬 #RPNtoRN #Midterms #nursingstudent #NurseTwitter ",
0.0,I passed ALL of my midterms 😩🙌🏾,
0.2263,I just gotta get through midterms and I’ll be straight again 🙃,
0.4404,midterms be good to me,
0.9557,good luck on your midterms !!! jk and i are cheering you on ! 🥺 &lt;333 exam week wish me luck pls i need it pls maybe bahahahhaahga,
0.6124,Will someone in Atlanta or Gainesville help me get through midterms please ,
0.5932,"Pray for me, nothing wrong it’s just midterms 😭",
0.0,Just about sums up these midterms this week 😎🤘 ,
0.0,A’s on both my midterms so it’s really up tomorrow 🥵,
0.7506,A little engagement with @illinoisstateu students during lunch and wishing them well with midterms. Enjoy the @ReggieRedbird stress birds and #YouGotThis ! 👍🏽 #YourRedbirdLife ,
0.2828,I have three classes on Thursday..... I also have 2 midterms and a quiz on Thursday so wasssss good? Like try me bitch. Even that isn’t breaking me down😂😂😂,
0.0,omg it’s midterms this week 😭😭😭😭😭😭😭😭😭✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽✋🏽,
0.0,My sister just don’t know if she don’t pass these midterms she not getting nothing from me period 😂,
0.0,I really have midterms next week. This semester is FLYING.,
-0.5609,"Saw a hawk capture/kill a squirrel today during floor chapel... it reminded me of midterms. Ya know, just minding your business, then bam, a giant scary thing comes out of nowhere, threatening your gpa.P.S. the squirrels that watched the murder = upperclassmen enjoying our tears",
0.0,Today my professor asked when midterms are... the grades were due today.,
0.3182,I’m procrastinating so much &amp; I have midterms next week 😔 lord please lift this laziness from me,
0.5719,got two upcoming midterms on monday and then another midterm on tuesday. then just today got hit with two full length essays both due monday too. id honestly rather just drop out man why even try lol,
0.0,I have midterms tomorrow so send in silence while I study today ✨,
0.296,i’ve finally moved back into uni gshsg im gonna regret saying this once midterms hit but im actually excited to be back in school again,
0.4926,Wooooh good night! Midterms na bukas review na mamayaaaaa 😧,
0.6369,It's midterm season. These tips can help one make better use of their study time and pick themselves up after a hard week. ,
0.0,"grabe goodluck sa midterms, labyu 💙 I think it’s ending tomorrow.",
-0.5106,I'm still sick - Midterms na starting on monday - pag ako ma eliminate. welp,
-0.0772,It’s midterms season but I swear my brain still thinks school started last week.,
-0.073,I would LOVE to join Sunday funday today but midterms :( lamelamelame,
0.7067,midterms were a success !!! ended with all A+’s this semester wooooo !!!!,
-0.5423,Midterms is kicking a nigga ass 🥴,
0.0,fruit and veggie carving for midterms sa culinary lab,
-0.9531,I have a minimum six page paper due tomorrow and I’ve covered three out of five of the points we have to talk about on one page. There’s no way I’ll get six pages out of this. I’m gonna die. I hate midterms so much. I’m starting to get sick. This is just the worst week ever.,
0.0,me: *have upcoming long exams + midterms*also me: *rewatches watched anime scenes and osts*,
0.4019,hopefully everyone passes their midterms that are approaching or already has happened 🥳,
0.7351,"Stagecraft midterm done. I passed but definitely didn’t get an A. Two more midterms this week to go, as well as two projects due 😅",
0.0,fuc these midterms,
0.0,been up for the last 2 hours studying for my midterms and I already have sweat stains in my shirt. Look at me getting a head start on the day,
0.0,Goodluck with yalls midterms 😁 ,
-0.4682,"This college shit really sneaks up on you. Got 3 essays due, 7 assignments and 2 midterms the same day and it’s suppose to be my birthday week!?? Loooool big rass joke this",
0.0,Homecoming week vs. midterms week ,
0.2732,I don’t think I did well on ANY of my midterms,
0.0,I had the busiest most tiring week ever and instead of resting I’m going to spend the whole weekend studying for my midterms that I didn’t even start on yet.,
-0.8312,I’m failing two of my classes so far over midterms. I’ve never done so bad 😭,
0.5526,Dear current college freshmen! Take a nap!!! Take care of yourself after midterms! I promise an hour nap won’t kill your GPA!,
0.6124,midterms are over....I’m finna put on Stronger than Pride,
0.34,"this kid has been giving me monthly updates since they’ve started school, really invested at this point.  can’t wait to hear how midterms went ",
0.303,If i get hit oh fucking well better than these midterms Why do y’all walk dead in the middle of the street ?????,
-0.3818,After midterms nobody better bother me because I’m gonna decompress and cry the entire weekend,
-0.6249,"Failed my midterms, I'll just blame it on global warming.",
-0.0516,Dam midterms already I swear we started yesterday,
0.0772,still sick and got two midterms tm and a trashy weekend coming up yes we love getting sick right before midterms szn @ColIegeStudent,
0.0,me after midterms: im finally getting some rest Accounting: btch u thought,
0.0,SOMEONE CALL/FT/TEXT ME WHILE I STUDY FOR MIDTERMS,
